
=== 2026-05-27T21:02:13.450305+00:00 golang pid=718789 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:02:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:52 PM  1000    725717   14.00  101.00    0.00    0.00  115.00    22  proxy-go
02:12:53 PM  1000    725717   13.00   97.00    0.00    0.00  110.00    22  proxy-go
02:12:54 PM  1000    725717   15.00   96.00    0.00    0.00  111.00    22  proxy-go
02:12:55 PM  1000    725717   14.00   99.00    0.00    0.00  113.00    22  proxy-go
02:12:56 PM  1000    725717   15.00   97.00    0.00    0.00  112.00    22  proxy-go
02:12:57 PM  1000    725717   16.00  101.00    0.00    0.00  117.00    22  proxy-go
02:12:58 PM  1000    725717   16.00   94.00    0.00    0.00  110.00    22  proxy-go
02:12:59 PM  1000    725717   15.00   99.00    0.00    0.00  114.00    22  proxy-go
02:13:00 PM  1000    725717   12.00   98.00    0.00    0.00  110.00    22  proxy-go
02:13:01 PM  1000    725717   14.00   99.00    0.00    0.00  113.00    22  proxy-go
02:13:02 PM  1000    725717   16.00   97.00    0.00    0.00  113.00    22  proxy-go
02:13:03 PM  1000    725717   13.00   96.00    0.00    0.00  109.00    22  proxy-go
02:13:04 PM  1000    725717   14.00   96.00    0.00    0.00  110.00    22  proxy-go
02:13:05 PM  1000    725717   16.00   98.00    0.00    0.00  114.00    22  proxy-go
02:13:06 PM  1000    725717   14.00   97.00    0.00    0.00  111.00    22  proxy-go
02:13:07 PM  1000    725717   16.00   95.00    0.00    0.00  111.00    22  proxy-go
02:13:08 PM  1000    725717   17.00   95.00    0.00    0.00  112.00    22  proxy-go
02:13:09 PM  1000    725717   13.00   96.00    0.00    0.00  109.00    22  proxy-go
02:13:10 PM  1000    725717   15.00   97.00    0.00    0.00  112.00    22  proxy-go
02:13:11 PM  1000    725717   16.00   99.00    0.00    0.00  115.00    22  proxy-go
02:13:12 PM  1000    725717   16.00   97.00    0.00    0.00  113.00    22  proxy-go
02:13:13 PM  1000    725717   15.00   95.00    0.00    0.00  110.00    22  proxy-go
02:13:14 PM  1000    725717   12.00   95.00    0.00    0.00  107.00    22  proxy-go
02:13:15 PM  1000    725717   15.00   97.00    0.00    0.00  112.00    22  proxy-go
02:13:16 PM  1000    725717   15.00  100.00    0.00    0.00  115.00    22  proxy-go
02:13:17 PM  1000    725717   16.00   98.00    0.00    0.00  114.00    22  proxy-go
02:13:18 PM  1000    725717   15.00   99.00    0.00    0.00  114.00    22  proxy-go
02:13:19 PM  1000    725717   16.00   99.00    0.00    0.00  115.00    22  proxy-go
02:13:20 PM  1000    725717   16.00   92.00    0.00    0.00  108.00    22  proxy-go
Average:     1000    725717   14.73   96.87    0.00    0.00  111.60     -  proxy-go
